Symbol,Annual_Op_Income,Annual_Depreciation,Quarterly_Op_Income,Quarterly_Depreciation,Complete_Data,Error,Primary_Index,All_Indices
TJX,0,12,0,24,False,,SP500_TOP30,SP500_TOP30
TMO,4,4,8,8,True,,SP500_TOP30,SP500_TOP30
TMUS,4,12,8,17,True,,SP500_TOP30,SP500_TOP30
TRV,0,8,0,16,False,,DOW,DOW
TSLA,4,4,8,8,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
TXN,4,4,8,8,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
UBER,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
UNH,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,DOW"
V,4,8,8,16,True,,SP500_TOP30,"SP500_TOP30,DOW"
VICI,0,4,0,8,False,,SP500_TOP30,SP500_TOP30
VRSK,8,8,10,16,True,,SP500_TOP30,SP500_TOP30
VRTX,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
VZ,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,DOW"
WM,4,8,8,16,True,,SP500_TOP30,SP500_TOP30
WMT,4,4,8,8,True,,SP500_TOP30,"SP500_TOP30,DOW"
XEL,4,4,8,8,True,,SP500_TOP30,SP500_TOP30
XOM,0,8,0,16,False,,SP500_TOP30,SP500_TOP30
ZBRA,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
ZTS,0,12,0,16,False,,SP500_TOP30,SP500_TOP30
